COVID-19 Vaccinations in the United States
Date generated: Wed Jun 16 2021 08:46:51 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Guam,215770,130164,167116,173930,104924,164900,127717,95909,57.9,89545,69.4,80714,48.7,78042,60.4,122070,74200,19500,0,3644,68095,102191,0,31400,45670,3644,0,31391,43008,3643,0,77070,57.9,89545,69.4,46.5,74399,57.6,95909,14814,52.7,13610,48.5,5894,7464,252,0,28349,100933,768220,95900,67.7,80713,57,31399,45670,3644,0,173920,122858,152421
Hawaii,1915490,135287,171638,1639464,115792,1565429,140271,969687,68.5,915389,82,704768,49.8,683962,61.3,1083030,751260,81200,0,34114,580286,931304,93760,248939,403224,34530,18075,248422,383078,34404,18058,670238,68.5,915389,82,47.3,649558,58.2,969687,266228,99.2,222038,82.7,93035,119753,7841,1409,480551,179011,713542,966351,79.8,704029,58.1,248893,402571,34501,18064,1636104,135091,158160
Iowa,3402795,107852,140135,2952639,93584,2842180,117047,1591349,50.4,1524918,62.8,1456445,46.2,1413421,58.2,1799655,1415340,187800,0,120570,1269254,1562687,128,611450,726711,118205,79,611337,683856,118149,79,1338240,50.4,1524918,62.8,42.4,1295272,53.3,1591349,486383,88,467568,84.6,249370,207323,10823,52,948815,171590,615385,1591298,59.5,1456431,54.4,611444,726705,118203,79,2952616,110325,127146
Idaho,1643405,91961,122746,1284844,71897,1284545,95943,691348,38.7,690574,51.6,618488,34.6,618143,46.2,850785,692520,100100,0,46761,558941,678326,816,257605,314025,46604,254,257591,313710,46589,253,571884,38.7,690574,51.6,32,571554,42.7,691348,232420,80,218783,75.3,102159,107685,8830,109,448926,154445,565385,691324,46.2,618476,41.4,257602,314023,46597,254,1284821,85918,109897
Indian Health Svc,1743615,83714,N/A,1409970,67695,1341480,N/A,787449,37.8,744505,N/A,638743,30.7,613259,N/A,752115,916800,74700,0,24237,764416,621317,0,337932,276749,24062,0,337717,251517,24025,0,614681,37.8,744505,N/A,29.5,589234,0,787449,148952,0,124202,0,71468,50220,2514,0,273671,0,0,787148,0,638617,0,337866,276702,24049,0,1409524,0,0
Illinois,14438495,113942,146525,12332391,97321,11737914,119119,7266085,57.3,6864056,69.7,5462886,43.1,5262468,53.4,7871955,5716340,850200,0,429537,4947505,6946287,9062,2102657,2928192,429021,3016,2097292,2735191,426989,2996,5033865,57.3,6864056,69.7,39.7,4835479,49.1,7266085,1817665,89,1483815,72.6,685676,733576,62901,1662,3256261,159368,706650,7247064,66.9,5456149,50.3,2102615,2921522,428996,3016,12306480,113551,133223
Indiana,6592990,97932,127666,5383148,79961,5201317,100718,2911944,43.3,2800518,54.2,2566765,38.1,2500844,48.4,3549390,2616700,426900,0,185263,2155888,3027552,14445,1002340,1377290,182412,4723,1002169,1311678,182285,4712,2384353,43.3,2800518,54.2,35.4,2318559,44.9,2911944,887435,81.7,849724,78.3,424178,400378,22528,2640,1749123,161099,607233,2911732,51,2566702,45,1002330,1377251,182398,4723,5382926,94354,115564
Kansas,3034435,104157,137115,2408262,82664,2333859,105458,1400564,48.1,1348605,60.9,1171599,40.2,1142882,51.6,1532895,1329340,172200,0,78078,1068756,1260761,667,498501,594878,77981,239,498348,566380,77917,237,1093618,48.1,1348605,60.9,37.5,1064965,48.1,1400564,433089,91.1,371181,78.1,180529,176626,13894,132,773537,162683,638174,1400455,57.1,1171580,47.8,498494,594872,77975,239,2408151,98224,123769
Kentucky,4392465,98317,126774,3830662,85742,3710637,107095,2151104,48.1,2074302,59.9,1831332,41,1788047,51.6,2216565,1909600,266300,0,155694,1687759,1986735,474,770044,908421,152379,488,769918,865348,152297,484,1678953,48.1,2074302,59.9,37.6,1635750,47.2,2151104,638868,85.1,575152,76.6,262883,279412,32561,296,1168704,155710,585222,2150792,56.5,1831292,48.1,770035,908410,152360,487,3829636,100617,115404
Louisiana,3982070,85658,111819,3225937,69393,3164991,88875,1721162,37,1682098,47.2,1539268,33.1,1517846,42.6,2000310,1743660,238100,0,116370,1491752,1616686,1129,685566,742373,110776,553,685330,721281,110685,550,1428492,37,1682098,47.2,30.7,1407161,39.5,1721162,574648,77.5,545661,73.6,262549,264804,18189,119,1126735,152051,537375,1721036,43.9,1539230,39.2,685556,742361,110760,553,3225796,82221,101498
Massachusetts,9578900,138976,172914,8509338,123458,8073265,145735,4736609,68.7,4467690,80.6,4017847,58.3,3849072,69.5,5299320,3834880,444700,0,278219,3447653,4783280,186,1571117,2167763,278915,52,1566531,2004599,277895,47,3738932,68.7,4467690,80.6,54.2,3571177,64.5,4736609,1117819,95.6,994285,85,453704,477612,62950,19,2049152,175241,819177,4723994,78.5,4012372,66.7,1571109,2162301,278910,52,8491168,141126,159204
Maryland,8296970,137238,176119,6522297,107884,6188248,131358,3606637,59.7,3406346,72.3,3158721,52.2,3026873,64.3,4587570,3270000,439400,0,250369,2589932,3676369,5627,1209843,1704103,243155,1620,1209588,1572651,243036,1598,2915566,59.7,3406346,72.3,48.2,2783837,59.1,3606637,860119,89.7,800114,83.4,389259,363090,47220,545,1604719,167263,864812,3606303,69.9,3158618,61.2,1209813,1704055,243130,1620,6522009,126325,160704
Maine,1818640,135294,166030,1562459,116236,1491621,136175,876655,65.2,835890,76.3,789570,58.7,759898,69.4,936780,778760,103100,0,101292,668284,792553,330,317152,372526,99805,87,317105,342953,99759,81,689765,65.2,835890,76.3,51.3,660139,60.3,876655,268745,94.2,254658,89.3,116850,116782,21000,26,501324,175740,637527,876566,74,789546,66.6,317148,372523,99788,87,1562368,131853,153480
Marshall Islands,51300,87823,112755,31420,53789,31344,68892,17080,29.2,17025,37.4,14710,25.2,14684,32.3,0,40500,10800,0,403,31017,0,0,14294,10,406,0,14272,8,404,0,14304,29.2,17025,37.4,24.5,14280,31.4,17080,1026,10.4,875,8.8,856,0,19,0,1882,19016,518339,17063,34.2,14703,29.5,14287,10,406,0,31396,62938,102839
Michigan,11442840,114579,145900,9109439,91214,8748114,111541,5024366,50.3,4806307,61.3,4485169,44.9,4340426,55.3,6008340,4792000,642500,0,311267,3776985,5019836,1351,1793240,2374760,316511,658,1792786,2230643,316343,654,4168658,50.3,4806307,61.3,41.7,4024083,51.3,5024366,1482414,84,1397819,79.2,702263,636258,58864,434,2796556,158409,648172,5024088,58.5,4485102,52.2,1793221,2374725,316499,657,9109128,105982,133134
Minnesota,6446880,114314,148666,5655689,100285,5373625,123917,3147316,55.8,2979384,68.7,2766393,49.1,2652909,61.2,3524820,2577160,344900,0,248465,2249764,3157069,391,1049001,1467198,250069,125,1047330,1355774,249688,117,2516324,55.8,2979384,68.7,44.6,2403221,55.4,3147316,835728,90.8,779803,84.7,329683,406498,43588,34,1560015,169496,700457,3138430,65.7,2762139,57.8,1048990,1462973,250051,125,5642403,118089,134926
Missouri,6013295,97977,126148,4886745,79622,4733863,99308,2668263,43.5,2575226,54,2250526,36.7,2197043,46.1,3235635,2466360,311300,0,159755,1883801,2842780,409,850918,1239363,160168,77,850709,1186228,160032,74,2090358,43.5,2575226,54,34.1,2037011,42.7,2668263,843361,79.4,758793,71.4,347443,380324,30990,36,1610620,151654,566204,2667973,51,2250490,43,850909,1239349,160155,77,4886443,93329,114851
Northern Mariana Islands,72330,127158,163258,51945,91321,49076,110771,27739,48.8,25927,58.5,24564,43.2,23506,53.1,49530,20200,2600,0,339,7411,44195,0,3398,20822,344,0,3398,19764,344,0,24220,48.8,25927,58.5,42.6,23162,52.3,27739,2661,27.6,2556,26.5,418,2080,58,0,5158,53517,750467,27739,57.1,24564,50.6,3398,20822,344,0,51945,106936,148901
Mississippi,2623525,88152,115190,1844136,61964,1815390,79707,1047518,35.2,1027557,45.1,848045,28.5,838861,36.8,1295385,1164140,164000,0,54144,862195,926899,898,387978,406817,53214,36,387849,397806,53170,36,794831,35.2,1027557,45.1,26.7,785691,34.5,1047518,368326,75.7,322665,66.3,171155,137665,13833,12,672322,138141,539051,1047442,41.5,848024,33.6,387972,406809,53207,36,1844059,73136,104049
Montana,1095905,102538,130435,907825,84940,879351,104661,498656,46.7,481089,57.3,436028,40.8,425327,50.6,538785,487520,69600,0,35130,412787,459605,303,191338,210372,34224,94,191262,199765,34206,94,401804,46.7,481089,57.3,37.6,391121,46.6,498656,168461,81.6,155394,75.3,75215,72714,7414,51,316869,153494,530867,498569,54.3,436007,47.5,191325,210367,34221,94,907712,98923,119432
North Carolina,11521890,109857,140728,8423511,80315,8129693,99296,4643099,44.3,4461763,54.5,3983775,38,3871239,47.3,6137430,4738160,646300,0,286817,3408195,4728170,329,1546293,2153370,284071,41,1543920,2044282,282996,41,3699704,44.3,4461763,54.5,35.3,3588243,43.8,4643099,1381692,78.9,1269070,72.5,601095,636693,31254,28,2666990,152304,657982,4636275,51.6,3980903,44.3,1546203,2150606,284053,41,8413823,93638,128227
North Dakota,707420,92830,121573,629001,82539,611866,105151,328158,43.1,318216,54.7,287627,37.7,281788,48.4,361920,309000,36500,0,26976,271467,330558,0,120661,142895,24070,1,120494,137325,23968,1,263557,43.1,318216,54.7,34.6,257820,44.3,328158,99336,82.9,88438,73.8,43812,41288,3338,0,192686,160779,590279,327711,51.4,287466,45.1,120657,142740,24068,1,628344,98603,111012
Nebraska,2051790,106068,140694,1770014,91502,1701818,116696,963714,49.8,921169,63.2,862608,44.6,836717,57.4,1132170,811620,108000,0,64326,710431,991984,3273,333290,463733,64628,957,333185,438007,64586,939,797980,49.8,921169,63.2,41.3,772131,52.9,963714,271576,86.9,255817,81.9,124492,125586,5096,643,531620,170141,656661,963515,59.6,862559,53.3,333271,463716,64615,957,1769764,109420,126857
New Hampshire,1786515,131389,161755,1479763,108829,1411515,127802,832851,61.3,793037,71.8,730076,53.7,704405,63.8,947115,722700,116700,0,55134,632670,791938,21,305961,367703,56386,26,305729,342296,56354,26,673690,61.3,793037,71.8,49.5,648051,58.7,832851,234195,92.3,213433,84.1,92822,107731,12864,16,420436,165615,703729,832436,69.5,729893,60.9,305862,367627,56378,26,1479176,123412,149054
New Jersey,11307205,127302,162843,9678432,108964,9240947,133086,5585180,62.9,5311275,76.5,4704352,53,4537428,65.3,6068205,4633000,606000,0,369056,4043917,5264984,475,1872739,2459277,372289,47,1872403,2292867,372120,38,4332063,62.9,5311275,76.5,48.8,4165308,60,5585180,1344875,91.1,1205857,81.7,571827,555814,78196,20,2425273,164366,766312,5584573,73.3,4704253,61.7,1872720,2459243,372243,47,9677832,127033,148420
New Mexico,2323815,110825,143358,2237744,106720,2135548,131743,1247431,59.5,1181047,72.9,1060930,50.6,1019871,62.9,1170975,1014340,138500,0,68020,987937,1178527,3260,443103,550016,66854,957,442812,509351,66754,954,994076,59.5,1181047,72.9,47.4,953117,58.8,1247431,343660,91,308070,81.6,142071,149550,15897,552,632578,167523,615407,1247274,69.8,1060888,59.4,443087,549997,66847,957,2237578,125184,130009
Nevada,2989510,97057,125214,2631465,85433,2552567,106913,1463360,47.5,1412072,59.1,1208807,39.2,1183179,49.6,1599390,1207020,183100,0,114803,1063021,1453641,0,479057,616849,112891,10,478988,591323,112858,10,1095916,47.5,1412072,59.1,35.6,1070321,44.8,1463360,400586,80.8,355207,71.6,170367,164913,19922,5,755081,152243,602758,1463309,55.8,1208789,46.1,479054,616836,112889,10,2631431,100367,114025
New York State,23366565,120115,151482,20784559,106842,20009418,129718,11297965,58.1,10821426,70.2,9842185,50.6,9540644,61.9,12517245,9598620,1250700,0,891080,8443568,11445333,4578,3851262,5146330,843647,946,3850307,4846226,843189,922,8998538,58.1,10821426,70.2,46.3,8697455,56.4,11297965,2788351,84.6,2543247,77.2,1226124,1164872,151759,492,5271441,159927,708906,11296800,67.4,9841766,58.7,3851131,5146154,843549,932,20783059,123906,139309
Ohio,12210255,104458,134015,10324984,88330,9953780,109249,5522287,47.2,5300161,58.2,4974856,42.6,4829678,53,6442995,5111860,655400,0,411197,4278751,5623312,11724,1975970,2598294,397043,3549,1975693,2453571,396900,3514,4577813,47.2,5300161,58.2,39.2,4432778,48.7,5522287,1698401,83,1608236,78.6,736712,794422,75204,1898,3299175,161225,596693,5522069,55.2,4974809,49.7,1975961,2598271,397028,3549,10324773,103240,122094
Oklahoma,3967805,100274,132052,3126894,79022,3041435,101221,1720880,43.5,1666613,55.5,1430287,36.1,1400180,46.6,2008305,1737200,222300,0,92025,1422876,1611935,58,632750,706824,90683,30,632573,676946,90631,30,1339604,43.5,1666613,55.5,33.9,1309549,43.6,1720880,525833,82.8,456748,71.9,239909,201048,15781,10,977321,153877,624721,1720739,51.7,1430249,43,632736,706808,90675,30,3126729,94031,119324
Oregon,5550315,131595,165623,4349829,103132,4142325,123608,2407428,57.1,2280339,68,2109652,50,2028322,60.5,2951715,2288500,310100,0,160925,1740967,2445456,2481,811505,1138151,159508,488,809259,1059700,158884,479,1950144,57.1,2280339,68,46.2,1869438,55.8,2407428,654462,85.4,613478,80.1,280184,290739,42307,248,1220384,159302,724509,2401060,65.8,2106621,57.8,811502,1135126,159506,487,4340308,118985,152156
Pennsylvania,15389585,120212,151362,13365625,104403,12868263,126564,7817010,61.1,7493011,73.7,6043649,47.2,5872362,57.8,7820865,6508220,1060500,0,508246,5596525,7260476,378,2411007,3119947,512406,289,2409765,2950178,512141,278,5531243,61.1,7493011,73.7,43.2,5360221,52.7,7817010,2393193,100,1915463,80,907865,936787,70662,149,4262500,178097,643011,7814742,70.5,6042948,54.5,2410889,3119402,512368,289,13362688,120585,138876
Puerto Rico,3906830,122330,149061,2934670,91890,2807711,107125,1732353,54.2,1641917,62.6,1315598,41.2,1276430,48.7,1974570,1742260,190000,0,88168,1221174,1625030,298,517562,709684,88328,24,517378,670810,88218,24,1227270,54.2,1641917,62.6,38.4,1188212,45.3,1732353,451227,83.1,377729,69.6,177554,185591,14581,3,809748,149145,719585,1731634,60.8,1315470,46.2,517538,709614,88294,24,2933858,103004,137164
Rhode Island,1492015,140841,174532,1226167,115746,1169877,136849,667199,63,634213,74.2,590495,55.7,568067,66.5,825435,604980,61600,0,45505,490670,689944,48,228804,316243,45436,12,228760,293877,45419,11,545059,63,634213,74.2,51.5,522648,61.1,667199,177073,94.7,166618,89.1,76456,84524,5633,5,339889,181714,797673,667107,71.9,590475,63.7,228800,316228,45435,12,1226088,132194,160866
Republic of Palau,24600,137376,176382,24379,136142,24379,174797,13813,77.1,13812,99,12494,69.8,12494,89.6,0,20800,3800,0,1739,22639,1,0,10735,22,1737,0,10735,22,1737,0,10757,77.1,13812,99,60.1,10757,77.1,13813,1669,55,1611,53.1,1418,8,185,0,3053,100626,810811,13813,90.3,12494,81.7,10735,22,1737,0,24379,159423,160868
South Carolina,5186245,100729,128451,3965343,77016,3863030,95678,2179665,42.3,2115056,52.4,1859472,36.1,1821214,45.1,2644005,2229040,313200,0,137471,1622428,2204382,1062,719399,1005355,134503,215,717991,968932,134076,215,1724969,42.3,2115056,52.4,33.5,1687138,41.8,2179665,781559,83.4,696085,74.3,295272,377302,23363,148,1460580,155875,553481,2176019,49.2,1857945,42,719323,1003941,134466,215,3960148,89597,117337
South Dakota,947205,107070,141891,799720,90399,774533,116025,437530,49.5,421226,63.1,389891,44.1,381037,57.1,461565,426340,59300,0,24397,355263,420047,13,169934,195357,24587,13,169891,186557,24576,13,365304,49.5,421226,63.1,41.3,356461,53.4,437530,137888,90.8,129295,85.1,66775,59004,3509,7,259882,171120,623691,437506,59.3,389885,52.8,169932,195354,24586,13,799697,108345,128330
Tennessee,6207030,90890,116693,5071553,74263,4951321,93085,2759634,40.4,2682351,50.4,2305384,33.8,2264068,42.6,3263130,2576400,367500,0,151616,2101760,2807919,10258,926348,1228865,147140,3031,926074,1187976,146996,3022,2158244,40.4,2682351,50.4,31.6,2117072,39.8,2759634,887546,77.6,791054,69.2,399256,363769,26151,1878,1711877,149719,542861,2759149,47.3,2305284,39.5,926333,1228814,147106,3031,5070988,86898,106365
Texas,31171755,107504,144340,24367591,84038,23337264,108063,13431386,46.3,12777278,59.2,11111358,38.3,10631297,49.2,16686735,12591520,1893500,0,937687,10162765,13266285,854,4487164,5707509,916005,680,4293298,5460918,876429,651,10198951,46.3,12777278,59.2,35.2,9876665,45.7,13431386,3058327,81.9,2680060,71.8,1082304,1376651,220940,164,5801557,155362,834757,13427357,55.7,11109136,46.1,4486267,5706368,915822,680,24362791,101086,129337
